,Name,FighterHeight,FighterWeight,FighterDOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg,ScoreStrAcc,ScoreStrDef,ScoreTDAcc,ScoreTDDef,CombatScore
2860,Brandon Girtz,"5' 7""",155 lbs.,"Mar 06, 1985",2.5,60%,1.92,47%,5.76,100%,100%,0.0,60.0,47.0,100.0,100.0,50.879999999999995
2861,Israel Giron,"5' 8""",155 lbs.,"Jan 16, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2862,He-Man Gipson,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2863,Billy Giovanella,"5' 8""",125 lbs.,"Aug 20, 1985",1.27,40%,2.02,52%,0.87,12%,100%,1.7,40.0,52.0,12.0,100.0,22.66
2864,Demetrius Gioulacos,"5' 11""",185 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2865,Bob Gilstrap,"6' 3""",200 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2866,Alex Gilpin,"5' 7""",145 lbs.,"Mar 26, 1992",6.8,54%,12.29,42%,2.17,25%,0%,2.2,54.0,42.0,25.0,0.0,-4.439999999999999
2867,Krishaun Gilmore,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2868,Micheal Gillmore,"5' 11""",170 lbs.,"Mar 28, 1987",2.04,57%,3.02,43%,0.0,0%,50%,0.0,57.0,43.0,0.0,50.0,10.1
2869,Jason Gilliam,"6' 0""",170 lbs.,--,0.79,33%,3.14,42%,0.0,0%,0%,0.0,33.0,42.0,0.0,0.0,-4.249999999999999
2870,Gregor Gillespie,"5' 7""",155 lbs.,"Nov 13, 1986",3.74,52%,2.3,57%,6.86,48%,100%,0.8,52.0,57.0,48.0,100.0,55.080000000000005
2871,Jesse Gillespie,--,185 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2872,Kultar Gill,"6' 0""",154 lbs.,"Mar 24, 1979",1.14,50%,0.4,41%,1.71,66%,38%,0.0,50.0,41.0,66.0,38.0,28.33
2873,Trevin Giles,"6' 0""",170 lbs.,"Aug 06, 1992",2.9,54%,1.99,60%,1.46,57%,73%,0.4,54.0,60.0,57.0,73.0,34.13
2874,Joey Gilbert,"5' 11""",155 lbs.,"Jun 05, 1976",0.61,42%,4.44,31%,0.0,0%,0%,0.0,42.0,31.0,0.0,0.0,-11.850000000000003
2875,Joseph Gigliotti,"5' 11""",185 lbs.,"Aug 13, 1993",1.04,39%,2.92,45%,1.56,100%,50%,0.8,39.0,45.0,100.0,50.0,20.28
2876,Thomas Gifford,"6' 1""",155 lbs.,"Jul 26, 1992",3.97,37%,6.45,37%,0.5,33%,33%,0.0,37.0,37.0,33.0,33.0,3.1000000000000014
2877,Kenny Giddens,"5' 11""",155 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2878,Chase Gibson,"5' 10""",155 lbs.,"Feb 07, 1990",3.13,54%,6.4,52%,0.0,0%,0%,0.0,54.0,52.0,0.0,0.0,-5.750000000000001
2879,Cody Gibson,"5' 10""",135 lbs.,"Sep 11, 1987",2.47,31%,2.54,63%,1.85,38%,58%,0.4,31.0,63.0,38.0,58.0,25.000000000000004
2880,Lee Gibson,"5' 7""",155 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2881,Lance Gibson,"5' 9""",185 lbs.,"Nov 20, 1970",1.21,75%,6.44,20%,0.0,0%,0%,0.0,75.0,20.0,0.0,0.0,-16.650000000000002
2882,James Giboo,"5' 11""",170 lbs.,"Jan 06, 1978",1.2,27%,7.08,39%,0.0,0%,0%,0.0,27.0,39.0,0.0,0.0,-22.8
2883,Nick Gibbons,"5' 10""",155 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2884,Joe Giannetti,"6' 0""",155 lbs.,"Jul 05, 1995",1.93,38%,2.8,40%,1.0,16%,0%,0.0,38.0,40.0,16.0,0.0,8.05
2885,Christos Giagos,"5' 10""",155 lbs.,"Jan 23, 1990",2.81,41%,2.87,48%,3.21,41%,52%,0.4,41.0,48.0,41.0,52.0,28.33
2886,Tiki Ghosn,"5' 10""",170 lbs.,"Feb 09, 1977",2.78,46%,2.94,58%,0.41,50%,61%,0.0,46.0,58.0,50.0,61.0,21.93
2887,Darrel Gholar,"5' 8""",194 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2888,Karine Gevorgyan,"5' 4""",125 lbs.,"Mar 09, 1989",1.2,20%,1.8,76%,0.0,0%,0%,0.0,20.0,76.0,0.0,0.0,6.6
2889,Derek Getzel,"6' 0""",155 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2890,Brian Geraghty,"5' 7""",155 lbs.,"Nov 04, 1980",0.47,25%,9.77,36%,0.0,0%,50%,0.0,25.0,36.0,0.0,50.0,-35.39999999999999
2891,Paul Georgieff,"6' 2""",170 lbs.,"Sep 22, 1982",2.55,40%,2.34,35%,0.0,0%,0%,0.0,40.0,35.0,0.0,0.0,8.55
2892,Chad George,"5' 6""",135 lbs.,"Apr 30, 1982",1.26,50%,1.11,65%,3.08,46%,0%,1.3,50.0,65.0,46.0,0.0,28.689999999999998
2893,Charlene Gellner,"5' 2""",125 lbs.,--,2.01,42%,3.24,43%,0.0,0%,0%,1.7,42.0,43.0,0.0,0.0,5.7499999999999964
2894,Manuel Gaxhja,"5' 8""",155 lbs.,"Jul 23, 1997",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2895,Louis Gaudinot,"5' 3""",125 lbs.,"Aug 28, 1984",2.34,37%,6.42,48%,0.57,40%,31%,1.1,37.0,48.0,40.0,31.0,-0.8900000000000023
2896,Melissa Gatto,"5' 5""",125 lbs.,"May 02, 1996",3.27,51%,2.6,53%,1.68,33%,70%,0.4,51.0,53.0,33.0,70.0,29.89
2897,Willie Gates,"5' 8""",125 lbs.,"Jan 21, 1987",1.8,38%,4.28,38%,0.0,0%,67%,0.4,38.0,38.0,0.0,67.0,2.6999999999999984
2898,Kelvin Gastelum,"5' 9""",185 lbs.,"ct 24, 1991",3.53,41%,3.24,57%,1.05,32%,62%,0.1,41.0,57.0,32.0,62.0,23.999999999999993
2899,Brian Gassaway,"6' 1""",170 lbs.,"Aug 07, 1972",0.34,26%,3.65,44%,0.0,0%,42%,0.0,26.0,44.0,0.0,42.0,-5.3500000000000005
2900,Azamat Gashimov,"5' 6""",125 lbs.,"Apr 07, 1990",1.24,21%,4.75,53%,1.69,25%,0%,0.0,21.0,53.0,25.0,0.0,-2.580000000000001
2901,Pablo Garza,"6' 1""",145 lbs.,"Sep 16, 1983",3.37,44%,2.7,50%,0.94,25%,15%,1.3,44.0,50.0,25.0,15.0,22.17
2902,Ian Garry,"6' 3""",170 lbs.,"Nov 17, 1997",5.95,56%,4.34,52%,0.43,50%,75%,0.0,56.0,52.0,50.0,75.0,32.64
2903,David Gardner,"5' 11""",155 lbs.,"May 17, 1977",0.17,100%,0.34,0%,0.0,0%,66%,0.0,100.0,0.0,0.0,66.0,15.75
2904,Rulon Gardner,"6' 3""",265 lbs.,"Aug 16, 1971",2.05,25%,1.45,60%,0.75,100%,100%,0.0,25.0,60.0,100.0,100.0,33.75
2905,Fernie Garcia,"5' 7""",135 lbs.,"Apr 12, 1992",2.18,39%,2.83,54%,0.47,50%,61%,0.5,39.0,54.0,50.0,61.0,19.560000000000002
2906,Rafa Garcia,"5' 7""",155 lbs.,"Aug 05, 1994",3.26,38%,4.75,53%,3.87,42%,76%,0.4,38.0,53.0,42.0,76.0,25.859999999999996
2907,Elias Garcia,"5' 5""",125 lbs.,"Sep 13, 1992",1.59,27%,5.05,50%,0.68,14%,33%,1.4,27.0,50.0,14.0,33.0,-0.06000000000000183
2908,Steve Garcia,"6' 0""",145 lbs.,"May 22, 1992",5.15,57%,2.52,46%,1.76,44%,100%,0.4,57.0,46.0,44.0,100.0,43.93
2909,Nick Garcia,"5' 4""",125 lbs.,--,0.67,25%,3.03,50%,0.0,0%,83%,5.1,25.0,50.0,0.0,83.0,14.200000000000001
2910,Alex Garcia,"5' 9""",170 lbs.,"Jul 14, 1987",1.81,31%,3.03,59%,3.72,52%,66%,0.1,31.0,59.0,52.0,66.0,26.060000000000002
2911,Alejandro Garcia,"5' 7""",145 lbs.,--,1.22,62%,1.14,65%,8.55,87%,66%,0.0,62.0,65.0,87.0,66.0,54.05000000000001
2912,Edgar Garcia,"5' 10""",170 lbs.,"Feb 22, 1984",3.16,29%,4.23,60%,2.21,57%,50%,0.6,29.0,60.0,57.0,50.0,22.08
2913,Leonard Garcia,"5' 10""",145 lbs.,"Jul 14, 1979",2.77,24%,4.79,52%,0.3,26%,42%,0.5,24.0,52.0,26.0,42.0,6.200000000000001
2914,Cody Garbrandt,"5' 8""",135 lbs.,"Jul 07, 1991",3.16,38%,4.22,60%,1.02,30%,83%,0.0,38.0,60.0,30.0,83.0,18.860000000000003
2915,Eduardo Garagorri,"5' 9""",145 lbs.,"May 28, 1989",3.42,51%,2.36,58%,0.48,100%,61%,0.0,51.0,58.0,100.0,61.0,33.74
2916,Sean Gannon,"6' 3""",265 lbs.,--,0.0,0%,6.38,28%,0.0,0%,50%,0.0,0.0,28.0,0.0,50.0,-24.099999999999998
2917,Ciryl Gane,"6' 4""",245 lbs.,"Apr 12, 1990",5.11,59%,2.25,62%,0.62,21%,55%,0.5,59.0,62.0,21.0,55.0,36.86000000000001
2918,Ariel Gandulla,"5' 11""",205 lbs.,"May 07, 1968",1.95,23%,2.07,72%,1.88,66%,0%,0.0,23.0,72.0,66.0,0.0,21.14
2919,Shamil Gamzatov,"6' 2""",205 lbs.,"Aug 09, 1990",5.35,48%,3.46,51%,0.0,0%,50%,0.0,48.0,51.0,0.0,50.0,24.35
2920,Mateusz Gamrot,"5' 10""",155 lbs.,"ec 11, 1990",3.26,49%,3.34,61%,4.66,31%,90%,0.2,49.0,61.0,31.0,90.0,37.08
2921,Manvel Gamburyan,"5' 5""",135 lbs.,"May 08, 1981",2.13,41%,2.83,55%,3.26,34%,69%,0.7,41.0,55.0,34.0,69.0,27.58
2922,Joey Gambino,"5' 7""",145 lbs.,"ct 26, 1988",2.47,35%,2.53,51%,0.0,0%,42%,0.8,35.0,51.0,0.0,42.0,14.100000000000001
2923,Lucas Gamaza,--,170 lbs.,--,7.57,31%,6.99,45%,0.0,0%,0%,0.0,31.0,45.0,0.0,0.0,10.499999999999998
2924,Marcos Galvao,"5' 7""",135 lbs.,"Jun 23, 1981",1.97,32%,3.86,61%,2.27,28%,88%,1.1,32.0,61.0,28.0,88.0,20.46
2925,Andre Galvao,"5' 7""",168 lbs.,"Sep 29, 1982",2.34,52%,1.56,58%,2.02,27%,0%,2.8,52.0,58.0,27.0,0.0,29.259999999999998
2926,Eric Galvan,--,155 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2927,Turrell Galloway,"5' 3""",145 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2928,Tom Gallicchio,"5' 10""",170 lbs.,"Sep 23, 1986",3.53,26%,7.07,43%,1.0,11%,0%,0.0,26.0,43.0,11.0,0.0,-6.700000000000003
2929,Daniel Gallemore,"6' 5""",265 lbs.,--,3.1,41%,6.0,52%,0.0,0%,0%,0.0,41.0,52.0,0.0,0.0,-5.2
2930,Mickey Gall,"6' 2""",170 lbs.,"Jan 22, 1992",2.94,46%,4.25,49%,1.21,30%,36%,1.9,46.0,49.0,30.0,36.0,16.979999999999997
2931,Zelg Galesic,"6' 2""",185 lbs.,"Feb 16, 1979",4.86,62%,0.61,66%,1.3,100%,20%,1.3,62.0,66.0,100.0,20.0,52.550000000000004
2932,Dave Galera,"5' 11""",135 lbs.,"Jan 12, 1978",1.67,69%,0.53,33%,0.0,0%,14%,2.0,69.0,33.0,0.0,14.0,21.3
2933,Travis Galbraith,"6' 0""",170 lbs.,"May 18, 1981",2.21,40%,3.45,48%,1.33,25%,0%,1.3,40.0,48.0,25.0,0.0,11.690000000000001
2934,Brandon Gaines,"6' 3""",185 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2935,Mitch Gagnon,"5' 5""",135 lbs.,"ct 10, 1984",2.76,46%,2.21,61%,1.16,25%,65%,1.9,46.0,61.0,25.0,65.0,29.729999999999997
2936,Muin Gafurov,"5' 7""",135 lbs.,"May 17, 1996",2.07,47%,3.13,39%,5.0,41%,100%,0.0,47.0,39.0,41.0,100.0,32.4
2937,Sheila Gaff,"5' 5""",135 lbs.,"ec 29, 1989",1.6,50%,2.89,28%,0.0,0%,20%,0.0,50.0,28.0,0.0,20.0,3.3499999999999988
2938,Justin Gaethje,"5' 11""",155 lbs.,"Nov 14, 1988",7.46,60%,7.85,55%,0.0,0%,75%,0.0,60.0,55.0,0.0,75.0,17.049999999999997
2939,Alavutdin Gadjiev,"6' 2""",185 lbs.,"Jun 23, 1982",0.99,27%,0.99,57%,0.0,0%,50%,0.0,27.0,57.0,0.0,50.0,13.4
2940,Claudia Gadelha,"5' 4""",115 lbs.,"ec 07, 1988",3.31,41%,4.57,57%,3.03,42%,58%,0.7,41.0,57.0,42.0,58.0,23.99
2941,Gustavo Gabriel,"5' 6""",125 lbs.,"Apr 01, 1994",4.06,65%,4.26,46%,0.0,0%,50%,0.0,65.0,46.0,0.0,50.0,15.1
2942,James Gabert,--,178 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2943,Katsuaki Furuki,"6' 0""",168 lbs.,"Nov 10, 1980",0.27,10%,2.67,39%,0.0,0%,0%,3.0,10.0,39.0,0.0,0.0,-1.1
2944,Ricardo Funch,"5' 10""",170 lbs.,"Aug 14, 1980",2.61,65%,3.57,40%,1.24,18%,60%,0.0,65.0,40.0,18.0,60.0,17.220000000000002
2945,Masakatsu Funaki,"6' 0""",185 lbs.,"Mar 13, 1969",1.82,68%,2.92,35%,0.0,0%,0%,5.5,68.0,35.0,0.0,0.0,15.8
2946,Sam Fulton,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2947,Travis Fulton,"6' 0""",240 lbs.,"May 29, 1977",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2948,Masio Fullen,"5' 10""",145 lbs.,"ct 06, 1986",2.46,32%,3.5,54%,0.47,33%,69%,0.0,32.0,54.0,33.0,69.0,15.010000000000002
2949,Riki Fukuda,"6' 0""",185 lbs.,"Jan 06, 1981",4.24,43%,3.71,64%,2.17,43%,70%,0.0,43.0,64.0,43.0,70.0,31.16
2950,Keisuke Fujiwara,"5' 6""",139 lbs.,--,0.73,44%,1.2,47%,0.0,0%,23%,2.5,44.0,47.0,0.0,23.0,14.05
2951,Kazuyuki Fujita,"6' 0""",235 lbs.,"ct 16, 1970",1.05,49%,1.99,52%,2.78,36%,85%,0.6,49.0,52.0,36.0,85.0,27.040000000000003
2952,Megumi Fujii,"5' 3""",113 lbs.,"Apr 26, 1974",2.4,42%,0.0,100%,0.0,0%,0%,12.0,42.0,100.0,0.0,0.0,50.2
2953,Katsuhisa Fujii,"6' 0""",205 lbs.,"Aug 15, 1972",4.0,50%,4.43,64%,2.14,25%,50%,2.1,50.0,64.0,25.0,50.0,27.370000000000005
2954,Jesse Fujarczyk,"6' 4""",225 lbs.,"Jan 28, 1983",1.03,33%,4.91,38%,0.0,0%,25%,0.0,33.0,38.0,0.0,25.0,-9.799999999999997
2955,Adam Fugitt,"6' 1""",170 lbs.,"Jan 12, 1989",5.74,56%,7.44,45%,1.35,12%,100%,0.0,56.0,45.0,12.0,100.0,16.85
2956,Tony Fryklund,"6' 0""",185 lbs.,"Mar 26, 1971",3.49,39%,6.5,43%,0.0,0%,66%,0.5,39.0,43.0,0.0,66.0,0.7500000000000027
2957,Don Frye,"6' 1""",219 lbs.,"Nov 23, 1965",2.87,64%,3.57,37%,0.91,57%,45%,0.7,64.0,37.0,57.0,45.0,20.930000000000003
2958,Sarah Frota,"5' 6""",125 lbs.,"Apr 14, 1987",4.52,52%,2.57,55%,0.0,0%,53%,0.0,52.0,55.0,0.0,53.0,25.75
2959,Artem Frolov,"5' 10""",185 lbs.,"Sep 07, 1991",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2960,Jinh Yu Frey,"5' 3""",115 lbs.,"May 20, 1985",3.17,44%,4.23,52%,0.61,33%,88%,0.4,44.0,52.0,33.0,88.0,19.029999999999998
2961,Matt Frevola,"5' 9""",155 lbs.,"Jun 11, 1990",3.46,41%,3.49,59%,2.39,37%,42%,1.0,41.0,59.0,37.0,42.0,26.919999999999995
2962,Mike French,"5' 10""",145 lbs.,"May 29, 1975",0.23,23%,2.17,42%,0.0,0%,22%,1.0,23.0,42.0,0.0,22.0,1.0000000000000009
2963,Clay French,"5' 7""",161 lbs.,"ct 07, 1980",1.52,50%,1.27,16%,0.0,0%,100%,0.0,50.0,16.0,0.0,100.0,17.85
2964,Josh Fremd,"6' 4""",185 lbs.,"Jan 15, 1994",2.64,50%,2.79,36%,0.72,50%,26%,0.7,50.0,36.0,50.0,26.0,19.01
2965,Donavon Frelow,"5' 7""",135 lbs.,"Jan 20, 1985",2.4,27%,3.2,52%,1.0,100%,26%,0.0,27.0,52.0,100.0,26.0,19.5
2966,Rafael Freitas,--,205 lbs.,--,2.0,29%,8.0,51%,11.25,50%,0%,0.0,29.0,51.0,50.0,0.0,16.75
2967,Jeremy  Freitag,"6' 1""",205 lbs.,--,0.0,0%,8.37,19%,0.0,0%,33%,1.9,0.0,19.0,0.0,33.0,-32.85
2968,Patricky Freire,"5' 7""",155 lbs.,"Jun 01, 1986",3.06,44%,3.34,69%,1.26,33%,100%,0.0,44.0,69.0,33.0,100.0,26.980000000000004
2969,Patricio Freire,"5' 5""",145 lbs.,"Jul 07, 1987",2.84,41%,4.43,60%,0.6,18%,94%,0.6,41.0,60.0,18.0,94.0,16.35
2970,Willamy Freire,"5' 8""",155 lbs.,"Jul 28, 1987",1.53,37%,0.93,62%,0.5,100%,73%,0.0,37.0,62.0,100.0,73.0,31.7
2971,Jason Freeman,"6' 2""",225 lbs.,"Sep 02, 1976",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2972,Ian Freeman,"5' 11""",225 lbs.,"Nov 10, 1966",2.54,48%,3.11,44%,1.44,40%,80%,0.7,48.0,44.0,40.0,80.0,24.07
2973,Justin Frazier,"6' 0""",265 lbs.,"Jun 15, 1989",1.11,66%,6.11,4%,0.0,0%,0%,0.0,66.0,4.0,0.0,0.0,-18.0
2974,Gary Frazier,"6' 0""",245 lbs.,--,1.5,39%,2.77,46%,0.0,0%,100%,0.0,39.0,46.0,0.0,100.0,12.15
2975,Zane Frazier,"6' 5""",250 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2976,Stephanie Frausto,"5' 2""",115 lbs.,"Sep 20, 1990",1.43,21%,3.57,60%,0.0,0%,0%,0.0,21.0,60.0,0.0,0.0,-2.5999999999999996
2977,Zoila Frausto,"5' 4""",135 lbs.,--,0.77,31%,1.64,53%,0.0,0%,57%,0.0,31.0,53.0,0.0,57.0,9.75
2978,Rich Franklin,"6' 1""",185 lbs.,"ct 05, 1974",4.1,44%,2.07,62%,1.31,66%,63%,0.7,44.0,62.0,66.0,63.0,38.980000000000004
2979,John Franchi,"5' 6""",145 lbs.,"Jul 16, 1982",1.83,48%,2.59,48%,2.68,80%,40%,0.3,48.0,48.0,80.0,40.0,26.44
2980,Francisco France,"6' 0""",205 lbs.,"Jan 21, 1983",0.54,33%,3.51,27%,0.0,0%,0%,6.1,33.0,27.0,0.0,0.0,3.3500000000000014
2981,Glaico Franca Moreira,"6' 0""",155 lbs.,"Feb 28, 1991",2.35,42%,3.46,47%,2.68,42%,76%,0.3,42.0,47.0,42.0,76.0,23.790000000000003
2982,Hermes Franca,"5' 6""",155 lbs.,"Aug 26, 1974",1.78,39%,2.85,55%,1.53,36%,37%,2.4,39.0,55.0,36.0,37.0,20.740000000000002
2983,Brandon Foxworth,"5' 11""",145 lbs.,"Apr 28, 1979",1.33,32%,4.59,50%,0.0,0%,0%,0.0,32.0,50.0,0.0,0.0,-8.099999999999998
2984,Mason Fowler,"5' 11""",170 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2985,Xavier Foupa-Pokam,"6' 1""",185 lbs.,"Jul 03, 1982",1.47,43%,2.5,49%,0.0,0%,16%,0.0,43.0,49.0,0.0,16.0,5.65
2986,Brian Foster,"5' 9""",170 lbs.,"Apr 03, 1984",3.3,39%,1.63,65%,3.67,60%,37%,1.8,39.0,65.0,60.0,37.0,43.06
2987,Marcel Fortuna,"6' 1""",205 lbs.,"ct 22, 1985",3.83,46%,4.52,64%,0.45,8%,75%,0.5,46.0,64.0,8.0,75.0,18.2
2988,Brianna Fortino,"5' 0""",115 lbs.,"Aug 04, 1993",3.53,41%,3.23,57%,2.5,45%,66%,0.0,41.0,57.0,45.0,66.0,29.9
2989,Renee Forte,"5' 7""",155 lbs.,"Mar 27, 1987",2.08,32%,2.12,63%,2.32,58%,66%,0.0,32.0,63.0,58.0,66.0,28.66
2990,Jussier Formiga,"5' 5""",125 lbs.,"Apr 14, 1985",1.42,39%,2.34,64%,1.82,35%,87%,0.6,39.0,64.0,35.0,87.0,24.560000000000002
2991,Codale Ford,"5' 9""",170 lbs.,"May 13, 1979",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2992,Sterling Ford,"5' 10""",155 lbs.,"Mar 12, 1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2993,Jesse Forbes,"6' 2""",185 lbs.,"ct 24, 1984",2.11,24%,4.06,53%,1.79,75%,66%,1.2,24.0,53.0,75.0,66.0,19.82
2994,Claudionor Fontinelle,"5' 5""",185 lbs.,--,2.62,42%,10.25,28%,0.0,0%,0%,0.0,42.0,28.0,0.0,0.0,-31.149999999999995
2995,Rob Font,"5' 8""",135 lbs.,"Jun 25, 1987",6.38,46%,3.95,57%,1.03,37%,55%,0.4,46.0,57.0,37.0,55.0,35.54
2996,AJ Fonseca,"5' 4""",145 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
2997,Matt Foki,"5' 7""",220 lbs.,--,0.0,0%,3.37,56%,0.0,0%,0%,0.0,0.0,56.0,0.0,0.0,-11.250000000000002
2998,Mal Foki,"5' 7""",220 lbs.,--,2.86,14%,14.29,54%,0.0,0%,0%,0.0,14.0,54.0,0.0,0.0,-50.349999999999994
2999,Caros Fodor,"5' 9""",155 lbs.,"Jan 07, 1984",2.76,54%,2.83,54%,2.1,25%,50%,0.0,54.0,54.0,25.0,50.0,24.25
3000,Bobby Flynn,--,170 lbs.,--,0.38,25%,0.77,0%,0.0,0%,0%,0.0,25.0,0.0,0.0,0.0,0.5499999999999998
3001,Cody Floyd,--,--,"Jul 18, 1988",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
3002,Darrius Flowers,"5' 9""",170 lbs.,"Aug 25, 1994",0.82,100%,1.64,33%,0.0,0%,100%,0.0,100.0,33.0,0.0,100.0,19.2
3003,Kenny Florian,"5' 10""",145 lbs.,"May 26, 1976",2.41,40%,1.85,63%,2.22,33%,60%,1.3,40.0,63.0,33.0,60.0,31.660000000000004
3004,Alejandro Flores,"5' 10""",145 lbs.,"Aug 06, 1991",3.66,40%,2.02,54%,0.0,0%,0%,0.0,40.0,54.0,0.0,0.0,17.6
3005,Ty Flores,"6' 3""",205 lbs.,"ec 22, 1993",2.0,37%,7.8,25%,1.0,9%,0%,0.0,37.0,25.0,9.0,0.0,-18.900000000000002
3006,Luke Flores,"6' 0""",155 lbs.,"Mar 17, 1988",1.56,44%,1.88,60%,0.0,0%,40%,1.2,44.0,60.0,0.0,40.0,15.200000000000003
3007,Jimmy Flick,"5' 7""",125 lbs.,"Sep 07, 1990",1.99,58%,2.3,50%,1.81,50%,0%,7.2,58.0,50.0,50.0,0.0,34.08
3008,AJ Fletcher,"5' 10""",170 lbs.,"Feb 18, 1997",4.04,50%,5.34,47%,2.31,41%,40%,0.9,50.0,47.0,41.0,40.0,20.03
3009,Colin Fletcher,"6' 2""",155 lbs.,"Jan 08, 1983",3.1,34%,2.97,62%,0.0,0%,27%,0.0,34.0,62.0,0.0,27.0,12.95
3010,Rafael Fiziev,"5' 8""",155 lbs.,"Mar 05, 1993",4.81,50%,4.86,50%,0.36,40%,92%,0.0,50.0,50.0,40.0,92.0,24.029999999999994
3011,Isi Fitikefu,"5' 10""",205 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
3012,Jon Fitch,"6' 0""",170 lbs.,"Feb 24, 1978",2.61,50%,1.65,54%,3.6,51%,56%,0.8,50.0,54.0,51.0,56.0,38.300000000000004
3013,Bryanna Fissori,"5' 4""",145 lbs.,--,1.4,46%,1.2,57%,2.0,25%,50%,0.0,46.0,57.0,25.0,50.0,24.8
3014,Chris Fishgold,"5' 8""",145 lbs.,"Jun 06, 1992",2.01,32%,2.7,46%,2.59,46%,44%,1.3,32.0,46.0,46.0,44.0,23.72
3015,Spencer Fisher,"5' 7""",155 lbs.,"May 09, 1976",3.17,43%,3.03,64%,0.67,30%,60%,0.8,43.0,64.0,30.0,60.0,24.01
3016,Luiz Firmino,"5' 6""",154 lbs.,"Mar 18, 1982",1.23,50%,1.22,51%,3.86,45%,20%,0.9,50.0,51.0,45.0,20.0,30.03
3017,Manon Fiorot,"5' 7""",125 lbs.,"Feb 17, 1990",6.58,42%,3.14,71%,1.69,50%,83%,0.0,42.0,71.0,50.0,83.0,46.86999999999999
3018,Luigi Fioravanti,"5' 8""",170 lbs.,"Jan 22, 1981",2.23,42%,2.21,69%,3.76,63%,67%,0.9,42.0,69.0,63.0,67.0,37.28
3019,Jan Finney,"5' 8""",135 lbs.,--,2.16,28%,8.75,42%,0.77,11%,25%,0.0,28.0,42.0,11.0,25.0,-20.040000000000003
3020,Jesse Finney,"6' 0""",170 lbs.,"Jul 11, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
3021,Brady Fink,"6' 0""",183 lbs.,--,1.69,41%,1.69,61%,3.63,25%,0%,3.6,41.0,61.0,25.0,0.0,30.79
3022,Mirko Filipovic,"6' 2""",230 lbs.,"Sep 10, 1974",2.11,50%,1.89,63%,0.19,40%,78%,0.3,50.0,63.0,40.0,78.0,25.37
3023,Andre Fili,"5' 11""",145 lbs.,"Jun 25, 1990",3.83,37%,4.03,52%,2.38,49%,69%,0.3,37.0,52.0,49.0,69.0,27.439999999999998
3024,Jafel Filho,"5' 7""",125 lbs.,"May 05, 1993",2.52,42%,2.95,46%,2.6,28%,100%,1.3,42.0,46.0,28.0,100.0,29.849999999999998
